ID,Upload_Date,Title,Channel,Duration,View_Count,Favorite_Count,Description,Like_Count
SeOdGJhNhTg,2024-01-31T01:30:21Z,i found in flying Rabbit on google maps and google earth #shorts #vairal,Find Old Spected,PT27S,3571,0,,169
BxFaH_f3aOI,2024-01-31T04:24:34Z,APAKAH KALIAN LEBIH TUA DARI GOOGLE?,Stefina Chintara,PT25S,22268,0,,1251
L_HCYFA8W_4,2024-01-31T16:14:45Z,Only smart people live on this island #google #googlearth #geography #shorts #interesting #wow,DeScRiPtIoNvIp,PT28S,2341,0,,51
PWJ7aRDK0KM,2024-01-31T04:00:13Z,😱i found giant bananas duck let's🍌in real life?!🤯on google earth universal s2z🌎#maps #earth #google,UNIVERSAL S2Z,PT25S,2597,0,😱i found giant bananas duck let's🍌in real life?!🤯on google earth universal s2z🌎#maps #earth #google,166
cKjtLeewRFI,2024-01-31T08:30:09Z,😱i found giant SpongeBob In real life?!🤯on google earth universal s2z#maps #earth #universal #google,UNIVERSAL S2Z,PT22S,5574,0,😱i found giant SpongeBob In real life?!🤯on google earth universal s2z#maps #earth #universal #google,308
V6DP2bNAC18,2024-01-30T22:00:24Z,Don't Google While Teaching! #shorts #teachersoffdutypodcast,Teachers Off Duty Podcast,PT44S,43110,0,"Grab your tickets for the Bored Teachers Comedy Tour here: https://www.boredteachers.com/comedy-tour

Get Teachers Off Duty Premium to access EXCLUSIVE content at: https://teachersoffduty.supercast.com/

Check out our MERCH! https://shop.boredteachers.com/collections/teachers-off-duty

﻿Listen to the podcast anywhere you stream your favorite shows:
﻿Spotify: ﻿https://open.spotify.com/show/69pLuB4cKPCP8UG3eCImfP﻿
Apple: ﻿https://podcasts.apple.com/us/podcast/teachers-off-duty/id1602160612﻿﻿﻿
 
Subscribe to our newsletter: https://www.beacons.ai/teachersoffdutypod",3409
yKef7MBjRCY,2024-01-31T08:30:16Z,I Found Giant chocolate statue Google Maps and Google Earth On Real Life #map #earth #universala2z,UNIVERSAL A2Z,PT48S,12637,0,I Found Giant chocolate statue Google Maps and Google Earth On Real Life #map #earth #universala2z,62
ftDDGDvbO4M,2024-01-31T11:30:18Z,🥰I Found baby boy📍 sculpture in real life google earth and google maps #universala2v #earth #maps,Universala2v ,PT25S,6567,0,,224
ElDNS7Jdpks,2024-01-31T01:00:04Z,Hello Google [The Smiling Monk] #google #comedyshorts #thesmilingmonk,The Smiling Monk,PT22S,2593,0,"If google was a person is a comedy about Karan's introduction to smart phone and the google assistant that came in human form. This hilarious funny video explores quirky, unpredictable situations with google and other virtual assistants, promising laughs and chaos. Brace yourself for a hilarious ride through unforeseen consequences.

For more such videos, subscribe to our YouTube channel: 
https://www.youtube.com/channel/UCAy1sK2gNe8OAwO6dKQ-jhA

Don't forget to push the Bell 🔔 icon to never miss an update.

Stay tuned for fun-packed adventures only on The Smiling Monk (TSM).

Credits:
Directed by: Abhishek Saxena
Produced by: Aditi Pai
Assistant Director: Siddhartha Singh
Written by: Preksha Khanna / Abhishek Saxena
Cast: Dilip Tekwani
          Akshay Ravi
          Jinali Pitroda
          Siddhartha  Singh
          
Edited by: Ankit Sharma
D.O.P: Parth Dedhia
Sound Recording: Tiwari
Production Coordinator: Kaushal Lokhande
HR and Accounts: Vini Dhanavel
Location: Ruby Isles, Royal Palms

About - The Smiling Monk
The Smiling Monk is an innovative and captivating entertainment channel that offers a unique blend of content designed to uplift, inspire, and entertain its viewers. With a philosophy rooted in positivity, the channel aims to spread joy and promote a sense of well-being among its audience.

#ifgooglewasaperson #ifgooglewasaboy #ifgooglehadaface #ifgooglewashuman #ifgooglewasindian #thesmilingmonk #funnygooglesearch #googlemaps #googlesearch #google #googlejokes #desicomedy #hindicomedy #tsm #ifgooglehadaface #ifgooglewasyourfriend #ifgooglewasaguy #comedy #latestcomedy #tvf #filtercopy #googlebaba #googlepay #heartattack #stomachache #funny #smartphones #alexa #virtualassistant 

For business and partnerships:  thesmilingmonk2023@gmail.com",0
j5KMulx6B4E,2024-01-31T11:02:10Z,I Found Creepiest Giant Baby in Real Life On Google Earth 🌎 #shorts #viral #earth #worldearthvisit,WORLD EARTH VISIT,PT24S,9418,0,"I Found Creepiest Giant Baby in Real Life On Google Earth 🌎 #shorts #viral #earth #worldearthvisit 







#worldearthvisit 
#youtubeshorts 
#googleearth 
#googlemaps 
#trendingshorts 
@Findwouldexploring",209
wUkLWlpe5ps,2024-01-31T04:00:22Z,Creepy Man Sculpture😱 on Google Earth #earth #map #googlestreetview #streetview,Voyager,PT31S,3398,0,#earth #map #googlemapsecrets #googlestreetview #streetview #googleearth #googlemaps #exploresandadventure #creepy #man #sculpture,163
nulHgxxotc8,2024-01-30T18:29:00Z,I found biggest octopus on Google Earth #viral #googleearth #trending #Prime Earth,Prime Earth ,PT26S,2885,0,,84
gSpldtTjwkk,2024-01-31T06:13:42Z,Poppy playtime on google map #googlemap #googleearth#findthemap,Find The Map,PT26S,7078,0,Poppy playtime on google map #googlemap #googleearth#findthemap,220
wNGh5YgXVU0,2024-01-31T03:05:14Z,Giant bee 🐝🤯😱 on google earth and google maps 🌎 #shorts #googleearth #googlemaps,Scary Things,PT27S,8299,0,,226
0uFd5C_wNhs,2024-01-31T07:41:05Z,I found very big anaconda on Google maps #googlemap #googleearth #google,short video vlog_43,PT26S,2432,0,,127
DC5m0NUHlL4,2024-01-31T08:00:11Z,How google sees Katniss VS how Pinterest sees Katniss #katnisseverdeen #edit,The Mockingjay,PT15S,9444,0,,545
ULTXq9CdeYo,2024-01-31T11:30:27Z,Omg what the face in real life on Google Earth #shorts#scary #google #youtubeshort #viralvideo,Find unique secrets ,PT30S,4727,0,,0
1JxyhZvqIk8,2024-01-31T08:12:28Z,GOOGLE MAP BMW 🔥|| #bmw #google #map #viral #trending #status #cars #shots #song #rangerover,Mumit Editz,PT23S,9377,0,"GOOGLE MAP BMW 🔥|| #bmw #google #map #viral #trending #status #cars #shots #song #rangerover

#status #music#trending  #herobrine#tiktok #video #viralvideo #shortvideo#subscribe #like#shortfeed #capcut",0
OS-vRR1G2bA,2024-01-31T14:33:27Z,I found cartoon car on Google maps #googlemap #googleearth #google,short video vlog_43,PT25S,2485,0,,38
vl2pIJC8XBg,2024-01-31T15:12:27Z,😰I Found a Very Creepiest Baby in Real Life On Google Earth! #shorts #findmysterioussecrets,Find Mysterious Secrets,PT26S,27664,0,"😰I Found a Very Creepiest Baby in Real Life On Google Earth! #shorts #findmysterioussecrets

Greetings and welcome to an amazing global tour where we will see the world's beauties via the lenses of Google Earth and Maps! Come along with me on this thrilling journey through gorgeous vistas, intriguing discoveries, and mind-blowing experiences in this engaging video.

We look at amazing locations on Google Maps in this compilation of short films. We'll see the breathtaking splendor that our globe has to offer, from magnificent natural wonders to architectural marvels. Get ready to be astounded by Google Earth's amazing 3D pictures and real-time satellite imagery.

Still, that's not all! We'll also explore the unknown and uncover some terrifying information. Prepare yourself for unsettling experiences as we discover eerie landscapes taken with Google Earth. These spooky real-life incidents will leave you in amazement and with shivers.

We'll also explore Google's 3D animal world, where we can see animals come to life before our very eyes. Learn how to create your own virtual safari and interact with these lifelike creatures.

I would appreciate your help if you enjoyed this video. To stay updated on upcoming research and discoveries, kindly hit the notification button, like it, and subscribe. Your assistance means a lot to me and enables me to keep producing engaging content.

Come along with me as I explore Google Earth's and Google Maps' hidden treasures, from fascinating locales to breathtaking 3D cities. Discover how to use Google Earth's captivating 3D views and how to use this potent tool to make your own animated video.

Take note of the popular Google Earth-related TikTok trends, where individuals post frightening and amazing photos. We examine some of the most intriguing TikToks created with Google Earth in-depth and talk about their significance.

Prepare to explore the immensity of Google Earth, discover intriguing locations, and discover its mysteries. Together, let's embark on this thrilling adventure! Remember to support, snare. and fully immerse yourself in the fascinating 
world of Google Earth and Google Maps.

#googleearth #googlemaps #streetview #strange #findmysterioussecrets #shorts
#viralshorts #scary",983
hHm51kvfqXQ,2024-01-31T09:45:02Z,Google Pixel 9 Pro Leaks - First look,Solomon TechSpin,PT2M42S,1049,0,"The first Pixel 9 Pro leak is here, with renders showing a pretty stark design departure from the Google phone we have today. 
According to OnLeak and MySmartPrice, the Pixel 9 Pro features flat edges that ever so slightly curve into the display and rear panel. This is in stark contrast to the curved rail on the Pixel 6-8 Pro.
@madebygoogle @Google 

#pixel9pro #googlepixel #pixel8pro #googlepixelfold #google #leaks #apple #smartphones #gadgets #fyp #viral",10
wLsh3henjDE,2024-01-31T04:52:25Z,😰I Found Very Strange Elephant in Real Life On Google Earth! #shorts #findalphaearth,Find Alpha Earth,PT26S,7293,0,😰I Found Very Strange Elephant in Real Life On Google Earth! #shorts #findalphaearth,278
PZaF4Z-4juM,2024-01-31T03:30:08Z,I Found Running Car😱On Google Earth🌎 #shorts #youtubeshorts #secretsofearth #shortsfeed,Secrets Of Earth 2,PT34S,2680,0,,100
oe8aOxa5cI8,2024-01-31T14:45:10Z,😰I Found Very Scariest Human in Real Life On Google Earth! #shorts #findwouldexploring,Find would exploring,PT26S,173912,0,😰I Found Very Scariest Human in Real Life On Google Earth! #shorts #findwouldexploring,10285
_NP0Pvy4GT4,2024-01-31T15:42:45Z,#sobbing🥺😭 #when it happened.... # #BTS #parkjimin #Google #new #fresh #shorts @crazyworld1200,Crazy World,PT7S,4642,0,,107
NPTSs47ypuM,2024-01-31T07:02:59Z,"AI stocks slide after Google, Microsoft disappoint | REUTERS",Reuters,PT2M5S,1132,0,"AI-related stocks took a tumble, wiping out $190 billion in US stock market value, after earnings numbers from Microsoft, Google-parent Alphabet and chipmaker AMD failed to impress investors.

👉 Read the story here: https://reut.rs/3SjbjUi 

Keep up with the latest news from around the world: https://www.reuters.com/

#News #Reuters #newsfeed #usstockmarket #wallstreet #alphabet #google #microsoft #amd #artificialintelligence #ai #aistocks 

Subscribe: http://smarturl.it/reuterssubscribe

Reuters brings you the latest business, finance and breaking news video from around the globe.  Our reputation for accuracy and impartiality is unparalleled.

Get the latest news on: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",25
hl7q5DkbzoQ,2024-01-31T11:44:10Z,#google #happy #disney #joy #disneyland #disneylandparis,KrisOnTour,PT15S,5924,0,,128
BKpCnpxNGeM,2024-01-31T09:54:47Z,… #fypシ #dracomalfoy #google #pinterest,Simuška**,PT19S,6698,0,,482
8_GaFN0ryqA,2024-01-31T10:29:39Z,strange palace on Google maps and Google Earth #AK Google Earth,AK Google Earth ,PT18S,2583,0,,63
jt7NQV8nccE,2024-01-31T06:01:06Z,I Found a Very Creepy Bird in Real Life On Google Earth! #shorts#viralvideo,The earth,PT34S,2651,0,I Found a Very Creepy Bird in Real Life On Google Earth! #shorts#viralvideo,70
wYVGQnBaZu4,2024-01-31T09:00:54Z,Giant Strange Mouse 🐁 on google maps and google earth 🌍 #shorts #finduniqueearth,Find Unique Earth,PT28S,2572,0,,98
